acc,Actinobacteria,Armatimonadetes,Bacteroidetes,Candidatus Melainabacteria,Chordata,Cyanobacteria,Euryarchaeota,Firmicutes,Fusobacteria,Ignavibacteriae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Streptophyta,Synergistetes,Thaumarchaeota,class
SRR11807248,1005.0,0.0,931.0,0.0,0.0,0.0,0.0,19270.0,0.0,0.0,0.0,0.0,26185.0,0.0,0.0,0.0,0.0,1
SRR11807249,108.0,0.0,19831.0,0.0,0.0,0.0,0.0,11951.0,0.0,0.0,0.0,0.0,50698.0,0.0,0.0,0.0,0.0,1
SRR11807250,113.0,0.0,1131.0,0.0,0.0,0.0,0.0,5377.0,0.0,0.0,0.0,0.0,17111.0,0.0,0.0,0.0,0.0,1
SRR11807251,2829.0,0.0,346.0,0.0,0.0,0.0,0.0,41489.0,0.0,0.0,0.0,0.0,40135.0,1.0,0.0,0.0,0.0,1
SRR11807252,208.0,0.0,241.0,0.0,0.0,0.0,0.0,44679.0,0.0,0.0,0.0,0.0,29922.0,0.0,0.0,0.0,0.0,1
SRR11807253,24.0,0.0,2592.0,0.0,0.0,0.0,0.0,11202.0,0.0,0.0,0.0,0.0,22910.0,0.0,0.0,0.0,0.0,1
SRR11807254,505.0,0.0,413.0,0.0,0.0,0.0,0.0,36360.0,0.0,0.0,0.0,0.0,32629.0,0.0,0.0,0.0,0.0,1
SRR11807255,1981.0,0.0,0.0,0.0,0.0,0.0,101.0,46168.0,0.0,0.0,0.0,0.0,42721.0,1.0,0.0,0.0,0.0,1
SRR11807256,5976.0,0.0,0.0,0.0,1.0,0.0,0.0,61197.0,2.0,0.0,0.0,0.0,45856.0,0.0,0.0,0.0,0.0,1
SRR11807257,2820.0,0.0,81.0,1.0,0.0,0.0,0.0,92694.0,0.0,0.0,0.0,0.0,60146.0,0.0,0.0,0.0,0.0,1
SRR11807258,2647.0,0.0,388.0,0.0,0.0,0.0,0.0,102890.0,0.0,0.0,0.0,0.0,11531.0,0.0,0.0,0.0,0.0,1
SRR11807259,938.0,0.0,1394.0,0.0,0.0,0.0,0.0,29349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SRR11807260,1954.0,0.0,572.0,0.0,0.0,0.0,0.0,59189.0,0.0,0.0,0.0,0.0,7489.0,0.0,0.0,0.0,0.0,1
SRR11807261,4263.0,0.0,13.0,0.0,0.0,0.0,0.0,48613.0,0.0,0.0,0.0,0.0,77923.0,0.0,0.0,0.0,0.0,1
SRR11807262,1716.0,0.0,0.0,0.0,0.0,0.0,55.0,54987.0,0.0,0.0,0.0,0.0,33730.0,1.0,0.0,0.0,0.0,1
SRR11807263,2744.0,0.0,34.0,0.0,0.0,0.0,1556.0,51586.0,0.0,0.0,0.0,0.0,44077.0,0.0,0.0,0.0,0.0,1
SRR11807264,3220.0,0.0,0.0,0.0,0.0,0.0,954.0,55431.0,0.0,0.0,0.0,0.0,34603.0,2.0,0.0,0.0,0.0,1
SRR11807265,1660.0,0.0,233.0,0.0,0.0,13.0,0.0,73761.0,0.0,0.0,0.0,0.0,40188.0,0.0,0.0,0.0,0.0,1
SRR11807266,1321.0,0.0,462.0,0.0,0.0,0.0,0.0,68120.0,0.0,0.0,0.0,0.0,35667.0,0.0,0.0,0.0,0.0,1
SRR11807267,6987.0,0.0,55.0,0.0,0.0,0.0,0.0,44192.0,0.0,0.0,0.0,0.0,14537.0,0.0,0.0,0.0,0.0,1
SRR11807268,593.0,0.0,0.0,0.0,0.0,0.0,0.0,28948.0,0.0,0.0,0.0,0.0,11344.0,0.0,0.0,0.0,0.0,1
